301,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
301,1,2.3103833198547363,5.305362224578857,0.0,0.0,5.786599987786551,66.46779994241484
301,2,-1.0663307905197144,5.687501907348633,0.0,0.0,5.786599977612479,100.61891743405383
302,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
303,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
304,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
305,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
306,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
307,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
308,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
309,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
310,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
311,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
312,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
312,1,0.29620298743247986,3.2011029720306396,0.0,-0.738284707069397,3.2147778223863805,84.71338713944697
312,2,-0.11189890652894974,3.641695976257324,0.0,-0.6890657544136047,3.643414737409284,91.75998174776316
312,3,-0.26329153776168823,4.278276443481445,0.0,-0.6398468017578125,4.286370464706144,93.52162665122168
312,4,0.44759562611579895,3.615816593170166,0.0,-0.5906277894973755,3.6434148103067674,82.94335357390224
313,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
313,1,0.49367159605026245,5.335171222686768,0.0,0.0,5.357962637060083,84.71338727682652
313,2,-3.4754481315612793,3.7918777465820312,0.0,-0.24609491229057312,5.143644287875748,132.5068357410612
313,3,0.10531661659479141,3.427478790283203,0.0,-0.1968759298324585,3.4290964476917507,88.2400183893472
314,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
314,1,0.49367159605026245,5.335171222686768,0.0,0.0,5.357962637060083,84.71338727682652
315,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
315,1,0.49367159605026245,5.335171222686768,0.0,0.0,5.357962637060083,84.71338727682652
316,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
